"","RecordNo","DateEntered","Habitat","HostSpecies","HostOrder","HostFamily","Synonyms","Food","genYr","CommonName","ProvinceI","InsectStatus","ModificationDate","InCanada","ChangeSpeciesTo","CommonNameOther","Complete","AdditionalReferences"
"2035",2117,"6/18/1996","aquatic","Aedes albimanus","Diptera","Culicidae","","","","","not in Canada","","3/25/2001","N 18","Are these synonyms: Aedes albimanus and Anopheles albimanus?  Aedes albimanus not in Pittaway, not in ITIS","","",""
"2036",2118,"6/18/1996","crop, grassland","Patanga succincta","Orthoptera","Acrididae","","corn/maize (Zea mays), grasses, Gramineae","1","Bombay locust","not in Canada","Pest","1/30/2001","n 35","Verified, UConn Orthoptera db.","","y",""
"2037",2119,"6/18/2096","","Aularches miliaris","Orthoptera","Pyrgomorphidae","","","","","not in Canada","","1/22/2000","N 22","Verified, UConn Orthoptera db, with subspecies.","","",""
"2038",2120,"6/18/2096","","Chlorizeina unicolor unicolor","Orthoptera","Pyrgomorphidae","Chlorizeina elegans","","","","not in Canada","","1/22/2000","n 22","Verified, UConn Orthoptera db.","","",""
"2039",2121,"6/18/2096","","Chondracris rosea","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","n 22","Verified, UConn Orthoptera db.","","",""
"2040",2122,"6/18/2096","","Cyrtacanthacris tatarica","Orthoptera","Acrididae","","","","","not in Canada","","1/19/2000","n 22","Verified, UConn Orthoptera db.","","",""
"2041",2123,"6/18/2096","","Diabolocatantops pinguis","Orthoptera","Acrididae","Acridium pinguis, Catantops pinguis","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"2042",2124,"6/18/2096","","Stenocatantops splendens","Orthoptera","Acrididae","","","","","not in Canada","","1/21/2000","N 22","Verified, UConn Orthoptera db.","","",""
"2043",2125,"6/18/2096","","Acrida willemsei","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"2044",2126,"6/18/2096","","Trilophidia annulata","Orthoptera","Acrididae","","","","","not in Canada","","1/21/2000","N 22","Verified, UConn Orthoptera db.","","",""
"2045",2127,"6/18/2096","","Attagenus megatoma","Coleoptera","Dermestidae","","","","","not in Canada","","12/31/2099","n 43","","","",""
"2046",2128,"6/21/1996","crop","Chilo zonellus","Lepidoptera","Crambidae","","Graminaceous plants","","","not in Canada","","4/12/2001","N 33","","","",""
"2047",2129,"6/26/1996","Crop, orchard","Anastrepha ludens","Diptera","Tephritidae","","grapefruit, citrus","","Mexican fruit fly","not in Canada","Pest","3/1/2001","N 65","Verified, Bosik 1997.","y 63","",""
"2048",2130,"6/26/2096","Larvae: aquatic, swamp, pasture, forest","Anopheles annulipes","Diptera","Culicidae","","humans, fowl, horse, kangaroos, domestic ungulates, wallabies","","","not in Canada","Pest","11/14/2000","n 18","Verified, Evenhuis 1989.  Verified, Pittaway 1991.","","","75, 82"
"2049",2131,"6/26/1996","greenhouse","Macrosiphoniella sanborni","Homoptera","Aphididae","","Chrysanthemum, other asteraceae","","chrysanthemum aphid","ON, BC","Pest","3/15/2001","y foot","Verified, Miller & Stoetzel 1997.  Verified, Bosik 1997.","","",""
"2050",2132,"6/29/2096","pasture","Oncopera rufobrunnea","Lepidoptera","Hepialidae","","Gramineae","","","not in Canada","Pest","11/14/2000","N 33, 77","","","","77"
"2051",2133,"6/29/1996","pasture, grassland, turfgrass","Blissus leucopterus hirtus","Heteroptera","Lygaeidae","","turfgrass, grasses","","hairy chinch bug","NF, NS, QC, ON","Pest","3/6/2001","Y 74","Verified, Bosik 1997.","","",""
"2052",2134,"6/29/2096","","Oulema gallaeciana","Coleoptera","Chrysomelidae","","","","","not in Canada","","2/12/2099","n 43","","","",""
"2053",2135,"6/30/1996","rangeland, pasture","Boophilus microplus","Acari","Ixodidae","","blood feeder, vertebrate, livestock","","southern cattle tick","","Pest","3/24/2001","","Verified, Pittaway 1991.  Verified, Bosik 1997.",".","","75"
"2054",2136,"7/3/1996","crop","Evergestis rimosalis","Lepidoptera","Pyralidae","","Brassica","","cross-stripped cabbageworm","possible in canada according to ref 77","Pest","3/9/2001","y 77","Verified, Bosik 1997.","","",""
"2055",2137,"7/3/1996","forest","Campaea perlata","Lepidoptera","Geometridae","","alder (Alnus), birches, firs, elms, maples, oaks, poplars, willows","=1, >1","pale beauty, light emerald","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Wildlife","2/22/2001","Y 33, Y 47","","64, 47","y","64, 47"
"2056",2138,"7/3/1996","forest","Hemileuca maia","Lepidoptera","Saturniidae","","Quercus falcata, Fagaceae, Salicaceae, Prunus, Corylus, Betula","<1, =1","buck moth","not in Canada","Pest","3/15/2001","N 39","Verified, Bosik 1997.","","y","77"
"2057",2139,"7/3/2096","forest","Macrurocampa marthesia","Lepidoptera","Notodontidae","","beech, chestnut, maples, oaks, poplars","","mottled prominent","","","11/13/2000","Y 33","","64","","64"
"2058",2140,"7/3/2096","","Spilosoma latipennis","Lepidoptera","Arctiidae","","ash, dandelions, impatiens, plantains","1","pink-legged tiger moth","ON","Wildlife","2/12/2099","Y 33","","64","","64"
"2059",2141,"7/3/2096","forest","Orgyia definita","Lepidoptera","Lymantriidae","","Ulmus, Populus, basswood, birches, oaks, red maple, willows, witch hazel","=1, >1","tussock moth","QC, ON","Pest","11/13/2000","Y 33","","77","y","64, 36"
"2060",2142,"7/3/2096","forest","Zale lunifera","Lepidoptera","Noctuidae","","black cherry, white pine","","","not in Canada","","11/13/2000","n 86","","","","64"
"2061",2143,"7/3/2096","forest","Allotria elonympha","Lepidoptera","Noctuidae","","Nyssa sylvatica, hickory, walnut","","false underwing","not in Canada","","2/12/2099","N 64","","64","","76"
"2062",2144,"7/3/1996","forest","Orthosia revicta","Lepidoptera","Noctuidae","","Salix, Populus, maple (Acer), Betula","1","","NF, NS, NB, QC, ON, MB, SK, AB, BC","","2/22/2001","Y 47","","","","47"
"2063",2145,"7/3/2096","forest","Egira alternans","Lepidoptera","Noctuidae","","Prunus virginiana, Quercus borealis, Prunus serotina, Salix sp., Lonicera","","","not in Canada","","7/6/2099","n 64","Spelling?  E. alternata in Covell, but E. alternans in 33","","","76"
"2064",2146,"7/3/2096","forest","Achatia distincta","Lepidoptera","Noctuidae","","linden, oak, walnut, white birch, butternut, white ash, white oak, burr oak, maple, Tilia americana","","","QC, ON, MB","","11/13/2000","Y 33","","","","76, 64"
"2065",2147,"7/3/1996","orchard, forest","Abagrotis alternata","Lepidoptera","Noctuidae","","apple (Malus), hickory, oak, walnut, strawberry (Fragaria)","","mottled grey cutworm, greater red dart","not in Canada","Pest","3/24/2001","n 77","","77","","77"
"2066",2148,"7/3/2096","forest","Callosamia angulifera","Lepidoptera","Saturniidae","","Liriodendron tulipifera, Sassafras, Prunus, Magnolia","=1, >1","","ON","Pest","2/12/2099","Y 39, Y 33","","","y","77, 39"
"2067",2149,"7/3/2096","forest","Heterocampa umbrata","Lepidoptera","Notodontidae","","oaks","","white-blotched heterocampa","NS, NB, QC, ON, MB","","11/13/2000","Y 33","","64","","64"
"2068",2150,"7/3/2096","orchard, forest","Catocala vidua","Lepidoptera","Noctuidae","","pecans, Carya ovata, walnut, hickory","","widow underwing","ON","","2/12/2099","Y 64","","64","","64, 77"
"2069",2151,"7/3/2096","","Pyreferra hesperidago","Lepidoptera","Noctuidae","","witch hazel, ironweed","","","NS, NB, QC, ON","","2/12/2099","Y 33","","","","64"
"2070",2152,"7/3/2096","forest","Eupsilia vinulenta","Lepidoptera","Noctuidae","","maples, cherries, oaks","","straight-toothed sallow","NS possible other canada provinces ref 64","Pest","11/13/2000","Y 64","","64","","77"
"2071",2153,"7/3/2096","forest","Sericaglaea signata","Lepidoptera","Noctuidae","","cherry, linden, oak","","","not in Canada","","11/13/2000","N 64","","","","64"
"2072",2154,"7/3/2096","forest","Chaetoglaea sericea","Lepidoptera","Noctuidae","","Prunus virginiana, Quercus","","silky sallow","NS probably other provinces in canada","","1/5/2000","Y 33","","64","","643, 76"
"2073",2155,"7/3/1996","crop","Sunira bicolorago","Lepidoptera","Noctuidae","","Nicotiana, Rumex, maple (Acer), Brassica","","","NF, NS, PE, NB, QC, ON, MB, SK, AB","","1/30/2001","Y 33, 47","","","","47"
"2074",2156,"7/3/1996","forest","Orthosia hibisci","Lepidoptera","Noctuidae","","","","speckled green fruitworm","ON, MB, SK, AB","Wildlife","3/15/2001","y 86","Verified, Bosik 1997.","","",""
"2075",2157,"7/4/1996","urban, forest","Epargyreus clarus","Lepidoptera","Hesperiidae","","Robinia hispida, Robinia pseudoacacia, R. viscosa, R. neomexicana, false indigo (Amorpha fruticosa), Wisteria frutescens, Lespedeza capitata, Lathyrus paluster, Desmodium nudiflorum, D. canadense, D. marylandicum, hog peanut (Amphicarpaea bracteata), Gleditschia, Apios tuberosa, Wisteria, black locust, ",">1","silverspotted skipper","QC, ON, MB, SK, AB, BC","Beneficial","3/24/2001","Y 33","Verified, Bosik 1997.","","y","77, Opler eastern butterflies,31"
"2076",2158,"7/4/2096","forest","Erynnis juvenalis","Lepidoptera","Hesperiidae","","Quercus ilicifolia, Q. mohriana, Q. rubra, Q. stellata, Q. marilandica, Q. nigra, Q. arizonica","=1, >1","juvenals dusky-wing","NS, NB, QC, ON, MB","","11/13/2000","Y 33, 31","","tildens western butterflies","","31"
"2077",2159,"7/4/1996","","Battus philenor","Lepidoptera","Papilionidae","","Aristolochia","","pipevine swallowtail","ON","","3/6/2001","Y Opler","Verified, Bosik 1997.","","","77, Oplers East Butterflies"
"2078",2160,"7/4/1996","forest","Papilio glaucus","Lepidoptera","Papilionidae","","Yellow Poplar, Wild Cherry, Sweet Bay, Prunus, Betula, Sorbus, Populus, Salix, Fraxinus, Tilia, Malus, maple (Acer), Magnolia, Liriodendron","=1, >1","tiger swallowtail, eastern tiger swallowtail","ON","Wildlife","3/15/2001","Y 33","Verified, Bosik 1997.","","y","Opler, 31"
"2079",2161,"7/4/2096","forest","Asterocampa clyton","Lepidoptera","Apaturidae","","Celtis, shade trees","","","not in Canada","Pest","2/12/2099","N 77","","","","77"
"2080",2162,"7/4/2096","","Geina periscelidactyla","Lepidoptera","Pterophoridae","","grapes","","grape plume moth","ON","Pest","2/12/2099","Y 77","","","","77"
"2081",2163,"7/4/1996","forest","Drepana arcuata","Lepidoptera","Drepanidae","","Betula papyrifera,  alder (Alnus)","1","","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC","","2/22/2001","Y 47","","","","47"
"2082",2164,"7/4/1996","Forest","Itame pustularia","Lepidoptera","Geometridae","","red maple (Acer rubrum)","","lesser maple spanworm moth","NF, NS, PE, NB, QC, ON, MB","Pest","2/22/2001","Y 33","","64","","77, 64, 47"
"2083",2165,"7/4/1996","forest","Phigalia strigataria","Lepidoptera","Geometridae","","American elm (Ulmus americana), many other trees","","","","","3/8/2001","Y 33","","","","77, 64"
"2084",2166,"7/4/2096","forest","Lomographa glomeraria","Lepidoptera","Geometridae","","Prunus, Crataegus","","","NF, NS, NB, QC, ON, MB","","11/13/2000","Y 33","","","","64, 47"
"2085",2167,"7/4/1996","forest","Ennomos magnaria","Lepidoptera","Geometridae","","alder (Alnus), ashes, aspen, basswood, elms, hickories, maples, oaks, poplars","1","maple spanworm","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC,","Pest","2/22/2001","Y 33","","64","y","64"
"2086",2168,"7/4/2096","forest","Besma quercivoraria","Lepidoptera","Geometridae","","Betula papyrifera, Salix, Acer saccharum, Quercus","=1, >1","oak besma","NF, NS, NB, QC, ON, MB, SK, AB, BC,","Wildlife","12/31/2099","Y 33","","64","y","47,64"
"2087",2169,"7/4/1996","forest","Lambdina pellucidaria","Lepidoptera","Geometridae","","Pinus, Tsuga, oaks","1","eastern pine looper, yellow-headed looper moth","not in Canada","","3/15/2001","N 64","Verified, Bosik 1997.","","","77, 64"
"2088",2170,"7/4/1996","orchard, forest","Eutrapela clemataria","Lepidoptera","Geometridae","","Vaccinium, apple (Malus), Ulmus, ash, aspen, basswood, birches, fir, maples, populars, willows","","curve-toothed geometer","NS possible other provinces in canada","Pest","3/24/2001","Y 77","","","","77, 64"
"2089",2171,"7/4/1996","forest","Prochoerodes transversata","Lepidoptera","Geometridae","","Populus tremuloides, balsam fir (Abies balsamea), Betula papyrifera, Thuja occidentalis, maple (Acer)","","","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC","","2/22/2001","Y 33","","","","47"
"2090",2172,"7/4/2096","forest","Hydria prunivorata","Lepidoptera","Geometridae","","Prunus serotina","","Fergusons scallop shell","NS, NB, QC, ON","Pest","11/13/2000","Y 77","","64","","77"
"2091",2173,"7/4/2096","forest","Cicinnus melsheimeri","Lepidoptera","Mimallonidae","","Quercus, esp Quercus ilicifolia","","","ON","Wildlife","2/12/2099","Y 33, Y 37","","","","37"
"2092",2174,"7/4/2096","","Apatelodes torrefacta","Lepidoptera","Apatelodidae","","ashes, maples, oaks, Prunus","","spotted apatelodes","QC, ON","","2/12/2099","Y 33, Y 64","","64","",""
"2093",2175,"7/4/2096","forest","Laothoe juglandis","Lepidoptera","Sphingidae","","Carya, Prunus, Juglans","=1, >1","walnut sphinx","NS, NB, QC, ON, MB","","11/13/2000","Y 33","","64","","64, 38"
"2094",2176,"7/4/2096","","Spilosoma congrua","Lepidoptera","Arctiidae","","polyphagous on low-growing plants, dandelions, pigweed larva also bores in mushrooms","","","","Pest","2/12/2099","Y 33","","","","77"
"2095",2178,"7/4/2096","forest","Phoberia atomaris","Lepidoptera","Noctuidae","","oak","1","common oak moth","not in Canada","","11/13/2000","Y 33","These may be synonyms:  Phoberia atomaris and Euxoa atomaris.","","","64"
"2096",2179,"7/4/1996","forest","Colocasia propinquilinea","Lepidoptera","Noctuidae","","Betula, maple (Acer), Fagus","","","NF, NS, PE, NB, QC, ON, MB","","2/22/2001","Y 47","","","","47"
"2097",2180,"7/4/2096","","Nedra ramosula","Lepidoptera","Noctuidae","","Hypericum spp.","","","NF, NS, NB, QC, ON","","2/12/2099","Y 47","","","",""
"2098",2181,"7/4/2096","forest","Lithophane semiusta","Lepidoptera","Noctuidae","","Prunus","","","QC, ON","","11/13/2000","Y 33","","","","86"
"2099",2182,"7/4/1996","orchard","Lithophane grotei","Lepidoptera","Noctuidae","","apple (Malus), pears, pin oak","","Grotes pinion","NS, NB, QC, ON","Pest","3/24/2001","Y 33","","64","","77, 64"
"2100",2183,"7/4/2096","orchard","Lithophane unimoda","Lepidoptera","Noctuidae","","Prunus, other fruit trees","","sugarcane borer, dowdy pinion","NS, NB, QC, ON, MB, SK, YK","Pest","11/14/2000","Y 33","","77, 64","","77, 64"
"2101",2184,"7/4/1996","orchard, forest","Crocigrapha normani","Lepidoptera","Noctuidae","","apple (Malus), cherries, oaks, other trees","","Normans quaker","NS, NB, QC, ON, MB","","3/24/2001","Y 33, Y 64","","64","","64"
"2102",2185,"7/4/1996","orchard","Morrisonia confusa","Lepidoptera","Noctuidae","","apple (Malus), Salix, basswood, blueberries, pines","","confused woodgrain","not in Canada","Pest","3/24/2001","n 86","","64","","64, 77"
"2103",2186,"7/4/2096","forest","Dasychira obliquata","Lepidoptera","Lymantriidae","","beech, birches, black cherry, elms, hickories, oaks","1","streaked tussock moth","QC, ON","","11/13/2000","Y 64","","64","","64"
"2104",2187,"7/4/2096","orchard","Catocala residua","Lepidoptera","Noctuidae","","pecan,  Carya ovata, hickories","","residua underwing","ON","Pest","2/12/2099","Y 64, y 33","","64","","77, 64"
"2105",2188,"7/4/2096","crop","Catocala ultronia","Lepidoptera","Noctuidae","","blueberries","","ultronia underwing","NS, NB, QC, ON, MB","","11/7/2000","y 64","","44","","64"
"2106",2189,"7/4/2096","forest","Catocala connubialis","Lepidoptera","Noctuidae","","oak, Quercus","","connubial underwing","NS","Wildlife","2/12/2099","Y 33, N 77","","64","","64"
"2107",2190,"7/4/1996","forest","Acronicta impleta","Lepidoptera","Noctuidae","","alder (Alnus), willow, poplar, dogwood",">1","yellow haired daggar moth","QC, ON, MB, SK, AB, BC","","2/22/2001","Y 86","","","y","64, 86"
"2108",2191,"7/4/2096","forest","Xystopeplus rufago","Lepidoptera","Noctuidae","","wild cherry, Quercus","","red-winged sallow","not in Canada","","11/13/2000","N 64","","64","","64"
"2109",2192,"7/8/1996","forest","Panolis flammea","Lepidoptera","Noctuidae","","pines (Pinus), fir (Abies), Juniperus, Larix, Picea, Pseudotsuga, Chamaecyparis, Quercus, Betula","","","not in Canada","Pest","2/22/2001","N 33","","","","77"
"2110",2193,"7/8/1996","","Coccinella septempunctata brucki","Coleoptera","Coccinellidae","","predator","","","not in Canada","","6/13/2001","n 43","Was reported as C. bruckii.  ","","",""
"2111",2194,"7/8/2096","","Scapanes australis grossepunctatus","Coleoptera","Scarabaeidae","","","","","not in Canada","","2/12/2099","N 43","","","",""
"2112",2195,"7/10/2096","","Gonometa rufibrunnea","Lepidoptera","Lasiocampidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"2113",2196,"7/10/2096","crop","Rachiplusia nu","Lepidoptera","Noctuidae","","flax, soyabeans, sunflowers, lucerne, Phaseolus, Cicer, Cucurbitaceae, Trifolium","","","not in Canada","Pest","11/7/2000","N 77","","","","77"
"2114",2197,"7/14/2096","savannah","Glossina morsitans morsitans","Diptera","Glossinidae","","humans, cattle, wild ungulates","","tsetse fly","not in Canada","Pest","11/14/2000","N 65","Verified, Pittaway 1991.","","","75"
"2115",2198,"7/17/1996","Crop","Anisoplia austriaca","Coleoptera","Scarabaeidae","","wheat (Triticum)","","wheat cockchafer","not in Canada","Pest","1/30/2001","n 43","","","",""
"2116",2199,"7/26/2096","","Helicoverpa paradoxa","Lepidoptera","Noctuidae","Heliothis paradoxa","","","","not in Canada","","2/12/2099","N 33","","","",""
"2117",2200,"7/29/2096","aquatic","Simulium alajense","Diptera","Simuliidae","Tetisimulium alajense","larva: detritus, microbes","","","not in Canada","","8/29/2000","N 65","Verified, Pittaway 1991.","","",""
"2118",2201,"7/29/2096","","Hybomitra bimaculata","Diptera","Tabanidae","","","","","not in Canada","","8/7/2000","N 24","Verified, Pittaway 1991.","","",""
